"","OCCUPANCY_DATE","shelter_location_pair","capacity_actual_sum","capacity_funding_sum","occupied_sum","unoccupied_sum","unavailable_sum","occupancy_rate"
"531",21-05-13,"2 - 1066",23,73,23,0,50,1
"532",21-05-13,"82 - 1163",154,NA,53,101,NA,0.344155844155844
"533",21-05-14,"40 - 1114",102,237,85,17,135,0.833333333333333
"534",21-05-14,"53 - 1103",67,91,67,0,24,1
"535",21-05-14,"2 - 1066",24,73,24,0,49,1
"536",21-05-14,"82 - 1163",154,NA,55,99,NA,0.357142857142857
"537",21-05-15,"40 - 1114",102,237,86,16,135,0.843137254901961
"538",21-05-15,"53 - 1103",67,91,67,0,24,1
"539",21-05-15,"2 - 1066",24,73,24,0,49,1
"540",21-05-15,"82 - 1163",154,NA,55,99,NA,0.357142857142857
"541",21-05-16,"40 - 1114",102,237,86,16,135,0.843137254901961
"542",21-05-16,"53 - 1103",67,91,67,0,24,1
"543",21-05-16,"2 - 1066",23,73,23,0,50,1
"544",21-05-16,"82 - 1163",154,NA,48,106,NA,0.311688311688312
"545",21-05-17,"40 - 1114",94,237,88,6,143,0.936170212765957
"546",21-05-17,"53 - 1103",64,91,64,0,27,1
"547",21-05-17,"2 - 1066",24,73,24,0,49,1
"548",21-05-17,"82 - 1163",154,NA,43,111,NA,0.279220779220779
"549",21-05-18,"40 - 1114",95,237,89,6,142,0.936842105263158
"550",21-05-18,"53 - 1103",64,91,64,0,27,1
"551",21-05-18,"2 - 1066",24,73,24,0,49,1
"552",21-05-18,"82 - 1163",154,NA,53,101,NA,0.344155844155844
"553",21-05-19,"40 - 1114",96,237,91,5,141,0.947916666666667
"554",21-05-19,"53 - 1103",64,91,63,1,27,0.984375
"555",21-05-19,"2 - 1066",24,73,24,0,49,1
"556",21-05-19,"82 - 1163",154,NA,57,97,NA,0.37012987012987
"557",21-05-20,"40 - 1114",96,237,91,5,141,0.947916666666667
"558",21-05-20,"53 - 1103",66,91,63,3,25,0.954545454545455
"559",21-05-20,"2 - 1066",24,73,24,0,49,1
"560",21-05-20,"82 - 1163",154,NA,65,89,NA,0.422077922077922
"561",21-05-21,"40 - 1114",107,237,92,15,130,0.85981308411215
"562",21-05-21,"53 - 1103",88,91,62,26,3,0.704545454545455
"563",21-05-21,"2 - 1066",24,73,24,0,49,1
"564",21-05-21,"82 - 1163",154,NA,57,97,NA,0.37012987012987
"565",21-05-22,"40 - 1114",107,237,93,14,130,0.869158878504673
"566",21-05-22,"53 - 1103",88,91,61,27,3,0.693181818181818
"567",21-05-22,"2 - 1066",24,73,24,0,49,1
"568",21-05-22,"82 - 1163",154,NA,55,99,NA,0.357142857142857
"569",21-05-23,"40 - 1114",107,237,92,15,130,0.85981308411215
"570",21-05-23,"53 - 1103",88,91,61,27,3,0.693181818181818
"571",21-05-23,"2 - 1066",24,73,24,0,49,1
"572",21-05-23,"82 - 1163",154,NA,55,99,NA,0.357142857142857
"573",21-05-24,"40 - 1114",107,237,94,13,130,0.878504672897196
"574",21-05-24,"53 - 1103",88,91,61,27,3,0.693181818181818
"575",21-05-24,"2 - 1066",24,73,24,0,49,1
"576",21-05-24,"82 - 1163",154,NA,53,101,NA,0.344155844155844
"577",21-05-25,"40 - 1114",106,237,94,12,131,0.886792452830189
"578",21-05-25,"53 - 1103",87,91,61,26,4,0.701149425287356
"579",21-05-25,"2 - 1066",24,73,24,0,49,1
"580",21-05-25,"82 - 1163",154,NA,50,104,NA,0.324675324675325
"581",21-05-26,"40 - 1114",107,237,96,11,130,0.897196261682243
"582",21-05-26,"53 - 1103",86,91,61,25,5,0.709302325581395
"583",21-05-26,"2 - 1066",23,73,23,0,50,1
"584",21-05-26,"82 - 1163",154,NA,50,104,NA,0.324675324675325
"585",21-05-27,"40 - 1114",107,237,97,10,130,0.906542056074766
"586",21-05-27,"53 - 1103",86,91,62,24,5,0.720930232558139
"587",21-05-27,"2 - 1066",22,73,22,0,51,1
"588",21-05-27,"82 - 1163",154,NA,53,101,NA,0.344155844155844
"589",21-05-28,"40 - 1114",109,237,98,11,128,0.899082568807339
"590",21-05-28,"53 - 1103",85,91,65,20,6,0.764705882352941
"591",21-05-28,"2 - 1066",22,73,22,0,51,1
"592",21-05-28,"82 - 1163",154,NA,49,105,NA,0.318181818181818
"593",21-05-29,"40 - 1114",110,237,100,10,127,0.909090909090909
"594",21-05-29,"53 - 1103",85,91,65,20,6,0.764705882352941
"595",21-05-29,"2 - 1066",22,73,22,0,51,1
"596",21-05-29,"82 - 1163",154,NA,40,114,NA,0.25974025974026
"597",21-05-30,"40 - 1114",110,237,101,9,127,0.918181818181818
"598",21-05-30,"53 - 1103",85,91,65,20,6,0.764705882352941
"599",21-05-30,"2 - 1066",21,73,21,0,52,1
"600",21-05-30,"82 - 1163",154,NA,36,118,NA,0.233766233766234
"601",21-05-31,"40 - 1114",111,237,102,9,126,0.918918918918919
"602",21-05-31,"53 - 1103",89,91,65,24,2,0.730337078651685
"603",21-05-31,"2 - 1066",21,73,21,0,52,1
"604",21-05-31,"82 - 1163",154,NA,36,118,NA,0.233766233766234
"605",21-06-01,"40 - 1114",117,237,103,14,120,0.88034188034188
"606",21-06-01,"53 - 1103",88,91,66,22,3,0.75
"607",21-06-01,"2 - 1066",20,73,20,0,53,1
"608",21-06-01,"82 - 1163",154,NA,29,125,NA,0.188311688311688
"609",21-06-02,"40 - 1114",118,237,106,12,119,0.898305084745763
"610",21-06-02,"53 - 1103",88,91,69,19,3,0.784090909090909
"611",21-06-02,"2 - 1066",20,73,20,0,53,1
"612",21-06-02,"82 - 1163",154,NA,25,129,NA,0.162337662337662
"613",21-06-03,"40 - 1114",113,237,107,6,124,0.946902654867257
"614",21-06-03,"53 - 1103",86,91,67,19,5,0.779069767441861
"615",21-06-03,"2 - 1066",18,73,18,0,55,1
"616",21-06-03,"82 - 1163",154,NA,27,127,NA,0.175324675324675
"617",21-06-04,"40 - 1114",116,237,109,7,121,0.939655172413793
"618",21-06-04,"53 - 1103",85,91,65,20,6,0.764705882352941
"619",21-06-04,"2 - 1066",17,73,17,0,56,1
"620",21-06-04,"82 - 1163",154,NA,26,128,NA,0.168831168831169
"621",21-06-05,"40 - 1114",116,237,110,6,121,0.948275862068966
"622",21-06-05,"53 - 1103",85,91,65,20,6,0.764705882352941
"623",21-06-05,"2 - 1066",17,73,17,0,56,1
"624",21-06-05,"82 - 1163",154,NA,24,130,NA,0.155844155844156
"625",21-06-06,"40 - 1114",116,237,110,6,121,0.948275862068966
"626",21-06-06,"53 - 1103",85,91,65,20,6,0.764705882352941
"627",21-06-06,"2 - 1066",17,73,17,0,56,1
"628",21-06-06,"82 - 1163",154,NA,22,132,NA,0.142857142857143
"629",21-06-07,"40 - 1114",119,237,112,7,118,0.941176470588235
"630",21-06-07,"53 - 1103",83,91,63,20,8,0.759036144578313
"631",21-06-07,"2 - 1066",17,73,17,0,56,1
"632",21-06-07,"82 - 1163",154,NA,19,135,NA,0.123376623376623
"633",21-06-08,"40 - 1114",126,237,111,15,111,0.880952380952381
"634",21-06-08,"53 - 1103",83,91,62,21,8,0.746987951807229
